The dominant paper in our nation's capital, it's among the top 10 U.S. papers in circulation	The Washington Post	Star Tribune	Los Angeles Times	Al-Quds Al-Arabi	The Age	London Evening Standard	The Wall Street Journal	Houston Chronicle	Svenska Dagbladet	New York Press	List of newspapers in Hong Kong	
The mast from the USS Maine is part of the memorial to the ship & crew at this national cemetery	Arlington National Cemetery | Arlington Cemetery	USS Arizona Memorial	Frank Newcomb	Thomas W. Lawson (ship)	USCGC Mohawk (WPG-78)	Full-rigged ship	Honda Point Disaster	Georg Stage	USS Bonhomme Richard (LHD-6)	USS Irene Forsyte (IX-93)	USS Minneapolis–Saint Paul (SSN-708)	
In 2009: Joker on film	Heath Ledger	Heath Ledger	Jack Nicholson	Jon Voight	Bernardo Bertolucci	Jessica Lange	Mark Hamill	Joan Plowright	George Clooney	Stanley Kramer	Warren Beatty	
It was the peninsula fought over in the peninsular war of 1808 to 1814	Iberia | Iberian Peninsula	Godfrey Macdonald, 3rd Baron Macdonald of Slate	Ferdinand VII of Spain	Vicente Genaro de Quesada	FitzRoy Somerset, 1st Baron Raglan	Napoleonic Wars	Alexander Gordon (British cavalry officer)	History of Spain	Colin Campbell, 1st Baron Clyde	Battle of Lundy's Lane	War of the Sixth Coalition	
In 1980 China founded a center for these cute creatures in its bamboo-rich Wolong Nature Preserve	Panda | Giant panda	Oil reserves in Southeast Asia	Chengdu	International Union for Conservation of Nature	Anji County	Wolong Temple	Kawaii	Phyllostachys	Yansheng Coin	Extinction	Chang'an Flower	
1988: "Father Figure"	George Michael	Uncovered (film)	List of Binoy Henyo episodes	Donald Ferlys Wilson Baden-Powell	Going Back (film)	John Bosley (Charlie's Angels)	The Thief (1997 film)	Khandan (1942 film)	Mitch Buchannon	Empire of the Sun (film)	Trapper John, M.D.	
In an essay defending this 2011 film, Myrlie Evers-Williams said, "My mother was" this film "& so was her mother"	The Help	Medgar Evers	Judy Fiskin	Penny Marshall	Citizen Kane trailer	Liev Schreiber	Chris Marker	Memory play	Touched (play)	Errol Morris	William Klein (photographer)	
Father Michael McGivney founded this fraternal society for Catholic laymen in 1882	Knights of Columbus	Knights of Columbus	Order of Chosen Friends	American Legion of Honor	Sons of Hermann	Pi Alpha Phi	Little Brothers of the Gospel	Degree of Honor Protective Association	K.A.V. Lovania Leuven	Mosaic Templars Cultural Center	Phi Delta Phi	
Early projects of the WWF, this organization, included work with the bald eagle & the red wolf	World Wide Fund | World Wide Fund for Nature	United States Fish and Wildlife Service	Project Tiger	Steve Lombardi	Williams Island Dam	Eagle	Extinction	Red Falcons	Golden Eagle	Elk/Beaver Lake Regional Park	Felsenthal National Wildlife Refuge	
Indonesia's largest lizard, it's protected from poachers, though we wish it could breathe fire to do the job itself	Komodo dragon	Komodo dragon	Dragon (Middle-earth)	Reptile	Project Tiger	Yellowstone National Park	Bloom County	Dragonfly	Rainforest	National park	Blue whale	
Nov. 28, 1929! This man & his chief pilot Bernt Balchen fly to South Pole! Yowza! You'll be an admirable admiral, sir!	Richard Byrd | Richard E. Byrd	Edwyn Alexander-Sinclair	Home Fleet	Keith Park	Alan Shepard	George Hyde (admiral)	Jonathan Faulknor the elder	Provo Wallis	Wilson Flagg	Kantarō Suzuki	Reginald Tyrwhitt	
On May 5, 1878 Alice Chambers was the last person buried in this Dodge City, Kansas cemetery	Boot Hill	Boot Hill	Edwin M. Shepard	Mount Royal Cemetery	Cemetery	William S. Gregory	Zentralfriedhof	George Law Curry	Catacombs	Cemetery of the Evergreens	Panteón de Dolores	
The Royal Palace grounds feature a statue of King Norodom, who in the late 1800s was compelled to first put his country under the control of this European power; of course, it was sculpted in that country	France	Reamker	Norodom Buppha Devi	Politics of Cambodia	Image:Your Majesty! at your age....jpg|thumb|upright|A political cartoon pillorying Leopold's affair with Caroline Lacroix	List of heads of state of Cambodia	History of Madagascar	Coudenberg	History of Nepal	Majapahit	History of Lesotho	
In the 400s B.C. this Chinese philosopher went into exile for 12 years	Confucius	Zhang Binglin	Bernhard Karlgren	Numerology	Alexandre Deulofeu	Ezra	King Ling of Zhou	Jean B. Lumb	Chinese philosophy	Chinese astrology	Guillaume Thomas François Raynal	
Bessie Coleman, the first black woman licensed as a pilot, landed a street named in her honor at this Chicago airport	O'Hare | O'Hare International Airport	Bessie Coleman	Pilot (aeronautics)	Jean Burns	Ida Cox	Catherine Coleman	Eileen Collins	Ethel Waters	Edith S. Sampson	Airplane!	Lani Guinier	
The Ammonites held sway in this Mideast country in the 1200s B.C. & the capital is named for them	Jordan	Rabbah	Raichur district	Ammonoidea	Kapisa Province	Semitic people	Pan-American Highway (North America)	Assyrian conquest of Aram	Valley of Salt	Zephaniah	Jidai Matsuri	
"The Sum of All Fears"; he also won a screenwriting Oscar for "Good Will Hunting"	Ben Affleck	Ben Affleck	The Little Foxes	He-He er xian	I. A. L. Diamond	George Seaton	Vera; or, The Nihilists	Ernest Pintoff	Gus Van Sant	Yentl	King Vidor	
One of the N.Y. Times' headlines on this landmark 1973 Supreme Court decision was "Cardinals shocked"	Roe v. Wade	Regents of the University of California v. Bakke	New York Supreme Court	Griswold v. Connecticut	Lambda Legal	R. v. Owen	Ford v. Quebec (Attorney General)	Wesberry v. Sanders	Romer v. Evans	Caveat emptor	Morris Pashman	
France's Philip IV--known as "The Fair"--had Jacques De Molay, the last Grand Master of this order, burned in 1314	Knights Templar	Philip IV of France	Knights Templar	Ferdinand IV of Castile	Louis X of France	Charles IV of France	Humbert de Pairaud	Louis IV, Holy Roman Emperor	Pope John XXII	Philip V of France	Philip VI of France	
The Georgia O'Keeffe Museum	New Mexico	Museum of Modern Art	Dan Budnik	Metropolitan Museum of Art	Rijksmuseum	Terra Museum	The Louvre	Museum of Contemporary Art, Chicago	Museum of Performance & Design	Tate	Fort James Jackson	
The name of this largest Moroccan city combines 2 Spanish words	Casablanca	Casablanca	Melilla	Oran	Western Sahara	Tétouan	Marrakesh	Agadir	Perejil Island	Sahrawi people	History of Western Sahara	
Jell-O	Kraft Foods	Jell-O	Cold Stone Creamery	Dietrich Jells	Jelling stones	Alloparenting	Chia-Ch'ing	Valery Ortiz	Flat Daddy	Comme ci comme ça	Shiosai	
2011: Chicago mayor Tom Kane	Kelsey Grammer	Jon Voight	Carol Kane	Some Like It Hot	El puntero	Larry Kane	St. Charles, Illinois	Kid Durbin	Jessica Lange	Roger Ebert	Citizen Kane	
Title residence of Otter, Flounder, Pinto & Bluto in a 1978 comedy	Animal House	Animal House	Bluto	Flounder	Cheech & Chong	José Maria Pedroto	National Lampoon (magazine)	Bozo the Clown	Ford Pinto	Scott & Muriel	Olive Oyl	
Neurobiologist Amy Farrah Fowler on "The Big Bang Theory", in real life she has a Ph.D. in neuroscience from UCLA	Mayim Bialik	Mayim Bialik	Howard Wolowitz	Blossom (TV series)	Virginia Louise Trimble	Amy Brenneman	Laurie Metcalf	Gene Settles	Danica McKellar	Mighty Bruins	Randall Crane	
In "The Deadlocked Election of 1800", James R. Sharp outlines the fall of this dueling vice president	Aaron Burr	Aaron Burr	Academic fencing	Society of the Army of Santiago de Cuba	Where's the beef?	Peninsula Campaign	Battle of Hampton Roads	Dirty tricks	James Diener	Daniel D. Tompkins	William R. King	
He served in the KGB before becoming president & then prime minister of Russia	Vladimir Putin | Putin	Vladimir Putin	Keizō Obuchi	Yuri Andropov	Active measures	Rajiv Gandhi	Politics of Russia	Politics of Latvia	Government of Kazakhstan	August Zaleski	Mikhail Gorbachev	
When asked to describe herself, she says first & foremost, she is Malia & Sasha's mom	Michelle Obama	Michelle Obama	Gertrud Månsson	Martha Jones	Liz Malia	Deborah Sampson	Sandra Bernhard	Jane Goodall	Dinah	Kate Jackson	Sati (practice)	
She wrote, "My candle burns at both ends... but, ah, my foes, and oh, my friends--it gives a lovely light"	Edna St. Vincent Millay	Mother Goose	Lisel Mueller	Metaphysical poets	Academia Antártica	List of Urdu-language poets	Banal Sojourn	Thomas Warton	Cy Est Pourtraicte, Madame Ste Ursule, et Les Unze Mille Vierges	Dover Beach	Metric Prefixes	
In this Finnish city, the Lutheran Cathedral, also known as Tuomiokirkko	Helsinki	Savonlinna	Finnish Orthodox Church	Porvoo	Turku	Helsinki	Mikael Agricola	Magdeburg	Tampere	Espoo	Trondheim	
Milton Bradley games	Hasbro	Hasbro	Axis & Allies	Microvision	Battleship (game)	Vectrex	Snakes and Ladders	Snake (video game)	Bradley (disambiguation)	Milton	Hershey bar	
The Kentucky & Virginia resolutions were passed to protest these controversial 1798 acts of Congress	The Alien and Sedition Acts	Kentucky and Virginia Resolutions	Second Continental Congress	Patrick Henry	Stamp Act 1765	U.S. state	Emancipation Proclamation	History of slavery in Indiana	Brent Spence	Copyright Act of 1790	United Nations Security Council Resolution 314	
1983: "Beat It"	Michael Jackson	Loser Gone Wild	K-Rob	1983 BDO World Darts Championship	Fred Davis (snooker player)	Kelowna Spartans	Beat Forster	Estádio Vila Olímpica	Tony Skuse	Ray Reardon	Juan López Fontana	
In 2009: Sookie Stackhouse	Anna Paquin	Anna Paquin	True Blood	Golden Globe Award for Best Television Series – Musical or Comedy	Golden Globe Award for Best Television Series – Drama	Jon Voight	Bernardo Bertolucci	Jessica Lange	Joan Plowright	George Clooney	1939 in chess	
This member of the Nixon & Ford cabinets was born in Furth, Germany in 1923	Henry Kissinger	Richard Nixon	United States presidential line of succession	Eisaku Satō	Helmut Sturm	Henry Kissinger	Republican Party presidential primaries, 1976	William B. Saxbe	Edward Brooke	Carl Albert	Théophile Delcassé	
The High Kirk of St. Giles, where John Knox was minister	Edinburgh	John Knox	Church of Scotland	Queen's Hall, Edinburgh	Stobo Kirk	Scottish Episcopal Church	Glasgow Cathedral	Tranent Parish Church	John Urquhart Cameron	Perth, Scotland	High Pavement Chapel	
For the brief time he attended, he was a rebel with a cause, even landing a lead role in a 1950 stage production	James Dean	Theodore Dwight Weld	James Dean	Michael Crawford	Dan Shor	Richard Thomas (actor)	Peter Reckell	Robert Ellenstein	Superstar	Art Carney	Harold Pinter	
Fisher-Price toys	Mattel	Mattel	Little People	Toy Town Museum	Buzzy Bee	Hasbro	Agglo	Jean-Pierre Abbat	Parker Brothers	Dollar General	Fisher's fundamental theorem of natural selection	
In a 1959 American kitchen exhibit in Moscow, he told Khrushchev, "In America, we like to make life easier for women"	Richard Nixon | Nixon	American National Exhibition	Cuban missile crisis	Leonid Brezhnev	Aleksandr Vasilevsky	Władysław Gomułka	History of the Soviet Union (1953–64)	Morris Childs	William Safire	Georgy Zhukov	Filyovskaya Line	
One of his "Tales of a Wayside Inn" begins, "Listen, my children, and you shall hear of the midnight ride of Paul Revere"	Henry Wadsworth Longfellow	Óláfs saga Tryggvasonar	Metaphysical poets	Mother Goose	Academia Antártica	Dover Beach	List of Urdu-language poets	Aoidos	Drum-Taps	Metric Prefixes	Thomas Warton	
This bestseller about problems on the McCain-Palin ticket became an HBO movie with Julianne Moore	Game Change	Game Change	Ed O'Callaghan	Democratic Party vice presidential candidate selection, 2004	Mark McKinnon	Michael Moore	Candace Bushnell	Gina Gershon	Margaret Cho	Being Erica	Dragonlance	
A 2-part episode of "JAG" introduced this Mark Harmon drama	NCIS	Cold Feet	Symphony No. 2 (Lutosławski)	Obra (TV series)	Alicia Coppola	Rocky Carroll	The Sarah Jane Adventures	Home Improvement (TV series)	The West Wing	Six Feet Under (TV series)	Mill Valley High School	
This port is the southernmost of South Africa's 3 capitals	Cape Town	Urbanization in Africa	Island of Mozambique	Eilat	Jeremy Mansfield	Coat of arms of Stellaland	Economy of Namibia	Port Elizabeth	British Columbia Highway 14	John Frost (SAAF officer)	Cape Town	
Keats was quoting this Edmund Spenser poem when he told Shelley to "'load every rift' of your subject with ore"	The Faerie Queene	Ode	Ozymandias	Hyperion (poem)	Edmund Spenser	John Keats	La Belle Dame sans Merci	Edmund Blunden	The Faerie Queene	English poetry	Spenserian stanza	
In an 1819 letter Keats wrote that this lord & poet "cuts a figure, but he is not figurative"	Lord Byron	La Belle Dame sans Merci	Hyperion (poem)	John Keats	Richard Monckton Milnes, 1st Baron Houghton	Ode	Blank verse	Lord Byron	John Wilson Croker	Didymus Chalcenterus	Edmund Spenser	
This clear Greek liqueur is quite potent, so it's usually mixed with water, which turns it white & cloudy	Ouzo	Ouzo	Liqueur	Souvlaki	Matzo	Fennel	Squash (drink)	Eggnog	Soft drink	Anise	Kava	
Feb. 1, National Freedom Day, is the date in 1865 when a resolution sent the states an amendment ending this	Slavery | Slavery in the United States	Emancipation Proclamation	Pledge of Allegiance	Alternative dispute resolution	Kentucky and Virginia Resolutions	United Nations Partition Plan for Palestine	Dispute resolution	United Nations Security Council Resolution 794	Mediation	Party participation in the mediation process	Lee Slater Overman	
This person is the queen's representative in Canada; currently the office is held by David Johnston	Governor General of Canada	Governor General of Canada	Palatine	100 Huntley Street	Lincoln Alexander	Order of Military Merit (Canada)	Prefect	Commander-in-chief	Lord	Sergeant	Princeps	
He earned the "fifth Beatle" nickname by producing all of the Beatles' albums	George Martin	Fifth Beatle	George Martin	Ringo Starr	Golden Earring	The Beatles (album)	Revolver (Beatles album)	Twist and Shout	Rubber Soul	Little Willie John	Beatles for Sale	
Early in their careers, Mark Twain & Bret Harte wrote pieces for this California city's Chronicle	San Francisco	Bret Harte	Joaquin Miller	Bret Harte Union High School	Ken Howard	Dave Meltzer	Royal Rumble (1995)	KKBN	Homosexuality in China	A Connecticut Yankee (musical)	Royal Rumble (1994)	
Large specimens of this marsupial can leap over barriers 6 feet high	Kangaroo	Kangaroo	Fauna of Australia	Velociraptor	Wombat	Broad-faced potoroo	Marsupial mole	Koala	Honey possum	Yungavolucris	Tammar wallaby	
Because it's cured & stored in brine, this crumbly white cheese made from sheep's milk is often referred to as pickled cheese	Feta	Feta	Norwegian cuisine	Head cheese	Roquefort	Casu marzu	Pecorino	Wensleydale cheese	Delicatessen	Mozzarella	Rennet	
1927! Gene Tunney takes a long count in the squared circle but rises to defeat this "Manassa Mauler"! Howzabout that!	Jack Dempsey	Jack Dempsey	Max Schmeling	New Jersey Route 37	Tommy Gibbons	Royal Rumble (1994)	Lou Stillman	Vehicle registration plates of Italy	Contra dance	Fred Quimby	Robin Tunney	
Italian for "leader", it was especially applied to Benito Mussolini	Duce	Duce	Alessandra Mussolini	Agostino Lanzillo	Esercito Nazionale Repubblicano	Fascist and anti-Fascist violence in Italy (1919–26)	Predappio	Romano Mussolini	Clara Petacci	Luigi Barzini, Jr.	Fascism in Europe	
The Kalamazoo Institute of Arts	Michigan	Terra Museum	Metropolitan Museum of Art	Tate	Museum of Contemporary Art, Chicago	Walker Art Center	Art museum	Whitney Museum of American Art	National Museum of Oriental Art	Portland Institute for Contemporary Art	National Gallery of Art	
The Sun Valley Center for the Arts	Idaho	National Gallery of Art	Walker Art Center	Metropolitan Museum of Art	Museum of Contemporary Art, Chicago	Museum of Performance & Design	Lady Lever Art Gallery	Art museum	The Louvre	Xochicalco	Terra Museum	
You can't mention this shortstop without mentioning his double-play associates Evers & Chance	Joe Tinker	Joe Tinker	Paul Molitor	Hughie Jennings	Honus Wagner	Triple play	A Few Questions	Steve Clevenger	Charlie Gehringer	Double play	Dave Bancroft	
In 1840 Horace Greeley began publishing "The Log Cabin", a weekly campaign paper in support of this Whig candidate	William Henry Harrison	Horace Greeley	The Day (New London)	Schuyler Colfax	William Henry Harrison	Boston Daily Advertiser	Gringoire (newspaper)	London Evening Standard	Sun-Sentinel	Literaturnaya Gazeta	The Weekly Sillimanian	
Pierre Cauchon, Bishop of Beauvais, presided over the trial of this woman who went up in smoke May 30, 1431	Joan of Arc | Jeanne d'Arc	Roman Catholic Diocese of Beauvais	Joan of Arc	Medieval Inquisition	Beauvais	Jean Houymet	Mount Pelée	François Boucher	Clermont-Ferrand Cathedral	Henry Beaufort	Eduardo Ciannelli	
This Wisconsin city claims to have built the USA's only granite dome	Madison	Saint Isaac's Cathedral	Blackstone Library	Yosemite Valley	El Capitolio	Madison, Wisconsin	Hermitage Bridge	Volkshalle	Sant'Anna dei Palafrenieri	Frank Zeidler	Yonkers Trolley Barn	
This Georgia paper is known as the AJC for short	The Atlanta Journal-Constitution	The Atlanta Journal-Constitution	Rome News-Tribune	International New York Times	Stylish Century	Darlington & Stockton Times	Metropolis Daily	Literaturnaya Gazeta	BVI Beacon	Al-Quds Al-Arabi	The Saguache Crescent	
Wooden 2-story verandas in this Liberian capital are an architectural link to the U.S. south	Monrovia	Monrovia	Americo-Liberian	Liberia	Dutchess Company Superintendent's House	North Melbourne railway station	Jug Tavern	Economy of Liberia	Armed Forces of Liberia	History of Liberia	Glenview Mansion	
This New Orleans venue reopened Sept. 25, 2006	Mercedes-Benz Superdome | The Superdome	Snug Harbor (jazz club)	Mercedes-Benz Superdome	Saenger Theatre (New Orleans, Louisiana)	The Brewhouse Theatre & Arts Centre	Jimmy Walter	New Orleans Jazz Museum	Preservation Hall Jazz Band	Louis Armstrong New Orleans International Airport	Lee Valley White Water Centre	Dan Storper	
"The Hunt for Red October"; he went more comedic as Jack Donaghy on "30 Rock"	Alec Baldwin	30 Rock (season 6)	Alec Baldwin	Adriane Lenox	Plunkett Donaghy	Jack the Ripper suspects	He-He er xian	A Kiss That Killed the One We Love (The Uriah Omen)	Never Go Back	Eddy Donaghy	Greg Scarnici	
Rita Dove titled a collection of poems "On the Bus with" this woman	Rosa Parks	Elizabeth Barrett Browning	Katherine Mansfield	Louise Erdrich	Heo Nanseolheon	Ouida	Stella Benson	Maria Rita Lorenzetti	Femme fatale	Elizabeth Siddal	Emily Dickinson	
"Patriot Games"; he's had other iconic roles, in space & underground	Harrison Ford	He-He er xian	Trinity (role-playing game)	A Kiss That Killed the One We Love (The Uriah Omen)	The Trial of Davros	Kult	Ringworld (role-playing game)	Mutants in Orbit	Eternals (comics)	Equus (play)	Role-playing game	
This sacred structure dates from the late 600's A.D.	Dome of the Rock	Altun Ha	Tayasal (archaeological site)	Izamal	Svetitskhoveli Cathedral	Mayapan	Roman calendar	Urease	The Eighth Reveals the Ninth	Battle for the Planet of the Apes	Millennium Tower (San Francisco)	
1988: "Man In The Mirror"	Michael Jackson	Francis Saltus Saltus	1988 in American television	United States Senate election in Indiana, 1988	1988	Operator-precedence grammar	1987–88 Serie A	Edgar Faure	Some Kind of Lover	1988 Republican National Convention	Ognjen Cvitan	
Matthias Church, or Matyas Templom, where Franz Joseph was crowned in 1867	Budapest	Votive Church, Vienna	History of Buda Castle	Mayerling	Matthias Corvinus	Basilica of Our Lady of Perpetual Help, Brooklyn	Saint Matthias	Bratislava	Holíč	Tourism in Hungary	Franz Xaver Witt	
Attending UCLA in the '60s, he was no "Meathead", he just played one later on television	Rob Reiner	Rob Reiner	Ron Pitts	Jason Bell (American football)	1984 Rose Bowl	Gene Settles	Kareem Abdul-Jabbar	Rover (song)	Animal Crackers (film)	Gary LeRoi Gray	Carroll O'Connor	
Kinch, Carter & LeBeau were all residents of Stalag 13 on this TV show	Hogan's Heroes	Hogan's Heroes	John Carter (ER)	Camp David	Episode Six	Nell Carter	Spin City	The Million Dollar Piano	Stalag VIII-F	Max Headroom (TV series)	God in Three Persons	
News flash! This less-than-yappy pappy is sixth veep to be nation's top dog after chief takes deep sleep!	Calvin Coolidge	ActionScript	Power nap	Alaskan Husky	Photoflash capacitor	My Yahoo!	Edward L. Atkinson	USS Asterion (AK-100)	Adobe Flash	Xinhua News Agency	BBC News	
In 2001: The president of the United States on television	Martin Sheen	Jon Voight	George Clooney	Jessica Lange	Jim Broadbent	Golden Globe Award for Best Television Series – Musical or Comedy	Golden Globe Award for Best Television Series – Drama	Jane Wyman	Warren Beatty	Geoffrey Rush	Kelsey Grammer	
1989: "Miss You Much"	Janet Jackson	I Love the '80s Strikes Back	Real Love (Jody Watley song)	1989 in American television	Shelly Jamison	Bodyrock (album)	1989 Miami Hurricanes football team	1989 DHL Open	1989 Athens Trophy	Eli Arnstad	Love Among the Cannibals	
1922: It's the end of an empire! This empire, in fact! After 600 years, it's goodbye, this, hello, Turkish Republic!	Ottoman Empire	Enosis	Mehmed VI	History of Armenia	Kilkis (regional unit)	Ottoman Empire	Muhammad Ali al-Abid	Armenian fedayi	Hohenzollern-Sigmaringen	Christophor Araratov	Liberalism in Turkey	
Crest toothpaste	Procter & Gamble	Crest (toothpaste)	Toothpaste	Procter & Gamble	Crest Capital	PZ Cussons	Alloparenting	Chia-Ch'ing	Flat Daddy	Comme ci comme ça	Indigo children	
In 1888 this Chancellor told the Reichstag, "we Germans fear God, but nothing else in the world"	Otto von Bismarck | Von Bismarck	Enabling Act of 1933	Tear down this wall!	Georg Michaelis	Reichstag Fire Decree	Rudolf Wissell	Wilhelm II, German Emperor	Heinrich Brüning	Lists of office-holders	Weimar Republic	Memorial to the Sinti and Roma victims of National Socialism	
In 1787 he signed his first published poem "Axiologus"; axio- is from the Greek for "worth"	William Wordsworth	Academia Antártica	Thomas Warton	Metaphysical poets	Aoidos	Axios (acclamation)	Dover Beach	Ozymandias	Kubla Khan	Agis of Argos	Francis Saltus Saltus	
Not to be confused with karma, krama is a popular accessory sold in cambodia; the word means "scarf" in this national language of Cambodia	Khmer language	Norodom Buppha Devi	Reamker	Cambodia National and Provincial Resources Data Bank	Politics of Cambodia	Vichara Dany	History of Cambodia	Demographics of Cambodia	The Killing Phone	Khmer traditional wrestling	List of heads of state of Cambodia	
Phnom Penh's notorious gridlock is circumvented by the nimble tuk-tuk, a motorized taxi that's also known as an auto this, a similar Asian conveyance.	Rickshaw	Coppersmith Barbet	Phnom Kulen National Park	Norodom Buppha Devi	Cycle rickshaw	Olympic Stadium (Phnom Penh)	Na Tuk Kong	Yesudasan	Music of Barbados	Transport in Cambodia	Demographics of Cambodia	
1980: "Rock With You"	Michael Jackson	The Price of Love (The Everly Brothers song)	Hourly, Daily	Whitesnake	1980 Formula One season	C/1980 E1	Shadow Cabinet of Michael Foot	Republican Party presidential primaries, 1980	1980 in American television	George Nagobads	Curtis Dickey	
The Pulitzer-winning "The Making of the President 1960" covered this man's successful presidential campaign	JFK | John F. Kennedy	Revolving Door (advertisement)	Political campaign	David Plouffe	Willie Horton	Ralph Nader presidential campaign, 2000	Steve Elmendorf	Speed Graphic	527 organization	Jesse Lee (politician)	James M. Cox	
In 1843 Isaac Dittenhoefer became the first pres. of this Jewish club whose name means "children of the covenant"	B'nai B'rith	B'nai B'rith	Rotary International	Kaddish	Cave of the Patriarchs	Jewish prayer	Gush Emunim	Service club	Alice Heine	Sombor	Nathaniel Isaacs	
Don Knotts took over from Norman Fell as the resident landlord on this sitcom	Three's Company	Don Knotts	Three's Company	John Ritter	Steward's Lodge	Tim Conway	Burwash Hall	Walter Knott	San Pedro, Laguna	Matlock (TV series)	Crinkle Crags	
U.N. Res. 242 supports "secure and recognized boundaries" for Israel & neighbors following this June 1967 war	The Six Day War	Camp David Accords	Golan Heights	United Nations Partition Plan for Palestine	Image:Civil war Lebanon map 1983a.gif|thumb|Map showing power balance in Lebanon, 198	United Nations Commission on Human Rights	Terje Rød-Larsen	Widukind of Corvey	Israeli–Palestinian conflict	War of Attrition	United Nations Security Council Resolution 1441	
This blonde beauty who reprised her role as Amanda on the new "Melrose Place" was a psychology major	Heather Locklear	Heather Locklear	Melrose Place	Courtney Thorne-Smith	Amy Lalonde	Lisa Rinna	Grant Show	Donna Vivino	Kristin Davis	Gina Gershon	Pearl Eaton	
The name of this dish of marinated lamb, skewered & grilled, comes from the Greek for "skewer" & also starts with "s"	Souvlaki	Souvlaki	Brazilian cuisine	Tzatziki	Awadhi cuisine	Kamaboko	Dim sum	Oden	Kushi (skewer)	Nando's	Combination (chess)	
Post-it notes	3M	Flat Daddy	Alloparenting	Chia-Ch'ing	Indigo children	The Price of Privilege	Comme ci comme ça	Amymone	Danaids	Nauplius	Niobe	
In 2010: As Sherlock Holmes on film	Robert Downey, Jr.	Robert Downey, Jr.	Sherlock Holmes	Irene Adler	The Five Orange Pips	Edward Hardwicke	Basil Rathbone	Jeremy Brett	Hans Zimmer	Reichenbach Falls	Harry Arthur Saintsbury
